filename,a,b,c,d,e,f,g,h,i,j
ar18403b_-2.jpg,0.0641637859737752,0.08120115546708614,0.6359753949052922,0.17767339739918644,0.5792590070106317,0.7946681262387354,0.3260065026626333,0.7932285144183158,0.764886461212386,0.1901418743815333
wtpe17803_4_white.jpg,0.26344521643483576,0.1346123724447614,0.3758852564091103,0.1734347374878353,0.8029533018387913,0.7072882831507367,0.32100916107343447,0.6014280053883363,0.5595550564013301,0.33648750493236723
ar18404b-2.jpg,0.03674447581638754,0.7711008372571022,1.0,1.0,0.4714597491148452,0.7415944064776333,0.9873839643471859,1.0,1.0,0.07084717743162118
ar18406a-2.jpg,0.1031700634852303,0.9758679769058998,0.6949643290112419,0.9146470160252234,0.610625880474967,0.6568347287138285,0.8407520674513275,0.9358029938957451,0.9229143803031504,0.08146500902046348
ar18406b-2.jpg,0.17343018261294443,0.49072301966725257,0.6215041007403524,0.47566723906540354,0.5649271318843551,0.8033273873551295,0.47413419757019637,0.8397585768137941,0.8302025188171844,0.10807300129962348
ar18408-blue-3pc_2_1.jpg,0.038043428151334165,1.0,0.5549393010182179,0.7527084404991261,0.6041466844186846,0.5361671948812374,0.5248441783185139,0.8545668637728849,0.8734464300909971,0.06878709930349658
ar18408b-2.jpg,0.04505555224799895,0.5518532975385917,0.5662218190726082,0.4368905209730472,0.5872562908692611,0.5912781139772124,0.34215077210670153,0.8317076466852408,0.8514373329097791,0.09435973954002726
ar18410a_-2.jpg,0.03796502826477361,0.5085454247059654,0.8573886608849588,0.6272327823590739,0.601958991100961,0.7281391944332516,0.6697266681129282,0.9505697084268888,0.9496381630383638,0.10626599100573081
ar18410-pink-3pc_2_1.jpg,0.054341706133630624,0.5945228005491053,0.7952774767794851,0.5999628818955279,0.6064971831183517,0.8305083163142509,0.5390714907317298,0.9013220857309865,0.9042399589337579,0.08850669482568413
ar18411a-2.jpg,0.03678322732763653,0.34384696447929053,0.8981364166131652,0.5733634460597198,0.6895352699456601,0.614110768758534,0.7283994040944275,0.9499631081367589,0.9362226839364983,0.11891995623717613
ar18411b_-2.jpg,0.14863329401682207,0.432643134530081,0.5491624550156821,0.42123471649599525,0.8744885077222487,0.7767509976029279,0.4661828699764228,0.8003908194701791,0.7746670278165183,0.14231884153765526
ar18412b-2.jpg,0.08999962375866705,0.1546563592439065,0.5935266750914354,0.32071906671708045,0.6156417962070657,0.7245752460823849,0.562485760257033,0.721483707951531,0.69520925661477,0.1903399500903269
ar19102_yellow_2_.jpg,0.15146274732247827,0.2893318136648904,0.6842611486208082,0.3583487221827266,0.8424647863877243,0.8782061179153676,0.4536593349177849,0.8530072836173551,0.8344449256180865,0.1868729178660844
ar19104_blue_2_.jpg,0.1349373060317809,0.24001926609456603,0.8033773935331978,0.3118216654656526,0.8573897403546762,0.9973430577930978,0.3677157097471118,0.8764179470523452,0.8594756730215088,0.15695089251155914
ar19104_green_2_.jpg,0.11565224568710847,0.25879838640277836,0.6731470723714168,0.2836544434958036,0.909664039797575,0.885446448052055,0.3080812532716056,0.8022338270106689,0.790415916852017,0.15739579342875248
ar19105-blue-3pc_2_.jpg,0.04399528299822611,0.37164087913167415,0.7801755437146677,0.396184159140995,0.45786017893783687,0.7131614427039287,0.3727310034232549,0.8677148113034721,0.8789787406064101,0.09690692305573723
