PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
etdp18407-beige,1,1,1,1,Printed Kurta ,2000,Khaddar,Beige,"Printed KurtaThe model is wearing size 8
Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/etdp18407-beige.html,
etdp18406-blue,1,1,1,1,Printed Kurta ,2000,Khaddar,Blue,"Button-down kurtaThe model is wearing size 8
Model Height: 168cm / 5 feet 6 inches
",Khaadi,https://www.khaadi.com/pk/etdp18406-blue.html,
etdp18405-green,1,1,1,1,Printed Kurta ,2000,Khaddar,Green,"Printed KurtaThe model is wearing size 8
Model Height: 167cm / 5 feet 5 inches
",Khaadi,https://www.khaadi.com/pk/etdp18405-green.html,
etdp18405-black,1,1,1,1,Printed Kurta ,2000,Khaddar,Black,Printed KurtaThe model is wearing size 8 Model Height: 167cm / 5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/etdp18405-black.html,
etej18426-off-white,1,1,1,1,Embroidered Kurta ,4000,Jacquard,Off-White,Embroidered Kurta,Khaadi,https://www.khaadi.com/pk/etej18426-off-white.html,
wte17825-blue,1,1,1,1,Colour Bliss ,3500,Khaddar,Blue,Colour Bliss,Khaadi,https://www.khaadi.com/pk/wte17825-blue.html,
wte17809-orange,1,1,1,1,Colour Bliss ,2200,Khaddar,Orange,Colour Bliss,Khaadi,https://www.khaadi.com/pk/wte17809-orange.html,
wtpe17804-green,1,1,1,1,Checks Your Way ,3000,PV,Green,Checks Your WayThe model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/wtpe17804-green.html,
wtpe17804-beige,1,1,1,1,Checks Your Way ,3000,PV,Beige,Checks Your WayThe model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/wtpe17804-beige.html,
wtpe17803-white,1,1,1,1,Checks Your Way ,3000,PV,White,Checks Your WayThe model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/wtpe17803-white.html,
wtpe17803-pink,1,1,1,1,Embroidered Kurta ,3000,PV,Pink,Embroidered KurtaThe model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/wtpe17803-pink.html,
etbc18402-beige,1,1,1,1,Basic Kurta ,2000,Crosshatch Denim,Beige,"Basic Kurta With Fringe Finish On The Sleeves & Hemline.The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/etbc18402-beige.html,
efsec18401-white,1,1,1,1,Embroidered Kurta with Pants ,4900,Crosshatch Denim,White,"Embroidered kurta with white straight pants.
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/efsec18401-white.html,
