filename,a,b,c,d,e,f,g,h,i,j,k,l,m
local4 (34).jpg,0.007200050524208246,0.18934914864576632,0.9305687585417668,0.2592534791544366,0.3719504316027523,0.5722891219754581,0.250825496343843,0.8684995686309582,0.7838585375661038,0.19124364448743073,0.7042313532758383,-0.4473262098573532,0.9821235766770618
local7 (30).jpg,0.003107292624158164,0.39867841669043697,0.8412749659559446,0.2629079245080967,0.2987333812262982,0.7340212726756945,0.24267707087676033,0.9369248432004397,0.876569817052046,0.12743152354537363,0.7983696828783091,-0.39812173364234055,0.9812746659961578
local19 (31).jpg,0.002662073529673276,0.2552732061788338,0.8380900046009392,0.16527573728320816,0.2323857850738154,0.54346826179132,0.15229503779187778,0.9151745289641842,0.8721746761872706,0.11682482363473087,0.7912517374616019,-0.3311465912945864,0.9632511591579174
local46 (31).jpg,0.027862922203136964,0.01947022883784085,0.9556915642213949,0.03823803069803701,0.38988002948234857,0.28310712901764207,0.03747312543055123,0.5735219957444913,0.5570769105263634,0.28030674336310285,0.5162546619633711,-0.14061647924780032,0.6841295663546332
local47 (31).jpg,0.0024171194766597786,0.15835855162728965,0.8638544082338284,0.12019212399687669,0.1937209787162425,0.33015152360405053,0.11229471736275327,0.8437388316090089,0.829925591501261,0.10319714256015385,0.7756531752257178,-0.21792542168395887,0.8897483401000615
local43 (30).jpg,0.0007713503250602644,0.44583894047676603,0.865950673980128,0.34314721079502425,0.13076316701419435,0.40609857309688346,0.32095486121100436,0.9588602933519056,0.9332912662497477,0.06424367964301518,0.8820955444466819,-0.2548473678502589,0.9393740393881704
local33 (12).jpg,0.004900471669050646,0.2444140395048521,0.9338397240367978,0.34836835586127884,0.41249049533273235,0.7315233096364668,0.33760994912784814,0.930116078878297,0.8131610160777571,0.21425135433846568,0.6798691692531428,-0.5616877670919294,0.9948648580603551
local38 (28).jpg,0.003025810229903682,0.17344011933288658,0.9332457616358192,0.24536648745215128,0.17721665220454344,0.40401798799147487,0.2377159752497804,0.8715526783066813,0.8437159177009778,0.09317436591937969,0.7939824964623634,-0.2843423776845867,0.9405557540733926
local34 (29).jpg,0.013852124396896627,0.14504533875033246,0.9838562056160429,0.5548503658007526,0.6628756114249056,0.6676404369031649,0.5515238272588966,0.9664490899705743,0.7919278608077319,0.39086632987938164,0.6176456954953486,-0.8184689537330156,1.0
local40 (17).jpg,0.011933945416635942,0.1645721646032874,0.9293462694962569,0.22203023690965185,0.5607901088175997,0.8387876800806101,0.21467610473556667,0.9304826935215809,0.7956554778634043,0.28571964019675994,0.667925523690963,-0.6847036128803017,0.9986043367717052
local47 (18).jpg,0.003216295116740874,0.05572271349000454,0.9599572212238352,0.11810314582176827,0.38486894968094065,0.3659493438767562,0.11599017202513445,0.9127070590862543,0.8025297430196299,0.28591210909552234,0.6227732720431307,-0.5544117261107596,0.9935649050360004
local36 (30).jpg,0.0055080756434968785,0.5218837415936648,0.9157404278451046,0.606137592317654,0.2703733391178579,0.4174813606644405,0.581956040902273,0.9000612295281764,0.847767375057667,0.11955304441734495,0.8159540857751351,-0.3298814461306359,0.9600509969105522
local51 (14).jpg,0.0023013881633883303,0.11783832103844655,0.9384973581612679,0.178358538706675,0.31805224691429695,0.541612788118559,0.17326299990543342,0.9456073701908438,0.8550547830673875,0.19411430976547683,0.7110186454571426,-0.4819624576196966,0.9905553553735269
local29 (30).jpg,0.003913563446808717,0.11004348045100794,0.9435971275816147,0.1787380034023076,0.35963009611493596,0.822281484000071,0.1740864994459455,0.923586496828725,0.8184023183885846,0.21000576446213184,0.6819007732029553,-0.5275916158648731,0.9895255012893116
local13 (12).jpg,0.760785708025267,0.06475097189007734,0.997159184124403,0.4485602787453921,0.9382498766351317,0.8031851371791524,0.44883970561991543,0.6589492254765975,0.5178828275175154,0.8518286652497029,0.4212322331887514,-0.9277108062539559,0.9984294674516233
local12 (45).jpg,1.0,0.1553710734327989,0.995906773663958,1.0,0.9953680871013058,0.84194802391719,1.0,0.604762496728631,0.4764183802197834,1.0,0.41605295701838035,-0.9364687526074442,0.9975737998798606
local40 (30).jpg,0.0008975960188768752,0.21915526331135796,0.9017919104193488,0.2227624963096454,0.14844607504184723,0.5314622496999712,0.2123287996038988,0.945748086938914,0.9111271332805463,0.07584009122580426,0.8334059926688182,-0.2944165183726362,0.9533228258067115
local18 (30).jpg,0.001562831593094684,0.2405871873080266,0.8927083477244971,0.22617652218247625,0.22864738986878066,0.5029762052339943,0.21456110596743938,0.9446676778701423,0.8770669618096172,0.12795655613153833,0.7618162216545838,-0.4017688119672932,0.9752219170211572
local42 (17).jpg,0.0035749078772757906,0.05080585761233378,0.9235756785915918,0.06415002854674531,0.2950040940061484,0.6125420491430794,0.06184110123320509,0.8571907681890992,0.7899122609386117,0.19087054081218774,0.6735464027681501,-0.3890310023883521,0.96768643217013
local14 (33).jpg,0.000759386502682113,0.47162983585567764,0.811785934517639,0.26557072129925047,0.14713812599164866,0.4632554272090777,0.24123876097442642,0.9640214549810685,0.9501454339600134,0.0638326447033736,0.8962527876600322,-0.26166347025338244,0.9431199445376339
local11 (12).jpg,0.004964751207108653,0.2938275336070464,0.9128784321080543,0.331557030612004,0.4104357218620926,0.5526242980933022,0.31785722811883954,0.9514742393865455,0.8611029128941583,0.1887039839779148,0.7505057041186436,-0.4878939187018011,0.9917200659780887
local21 (30).jpg,0.004518122186106682,0.08009198514252582,0.8905318202210488,0.0739650045792373,0.20527080898490904,0.5772658772711484,0.07008652791405705,0.799613540668654,0.7755521885081303,0.12343869825282786,0.7178759223729188,-0.25359730656875673,0.9051690013441464
local27 (30).jpg,0.0013324636674610056,1.0,0.8280136594778722,0.6123287543738197,0.13562354065365448,0.4317955406902865,0.5611700464467444,0.9423470541826652,0.9166491339648343,0.053960640462145014,0.9455313640049279,-0.214744618925827,0.9079624434154344
local26 (31).jpg,0.020834442525089848,0.40929199684148876,0.9408470239865747,0.639557701036099,0.4336295735534609,0.3045388935697012,0.6220353881301564,0.8323125766516861,0.7476608756357284,0.215041451121794,0.6999320027564705,-0.43792724768010155,0.9775935824061772
