filename,a,b,c,d,e,f,g,h,i,j,k,l,m
Dissimilar.jpg,0.12324969816041412,0.19893258883766643,1.0,0.38664513900947384,0.5607162675825942,0.8359175856941187,0.45510231937039897,1.0,1.0,0.49077682319260585,0.9744788103710857,-0.4690208262075572,0.8842889513184009
Similar (1).jpg,1.0,1.0,0.6013559381237211,1.0,1.0,0.924378031178405,1.0,0.9648109532813645,0.9275534132542946,0.9717116223353082,1.0,-0.9510831021737853,0.9908639709677138
Similar (2).jpg,0.7794654035745174,0.8832656114066578,0.6307068888854008,0.9121895058689172,0.9963432075966641,1.0,0.9227378056929351,0.9620307657317924,0.9181377255100209,1.0,0.9834893107436756,-1.0,1.0
