Dress Code,Name,Price,Material,Color,Description,Brand,url,Category
bf19105-brown-3pc,BF19105 ,2900,Lawn,Brown,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19105-brown-3pc.html,unstitched
bf19104-beige-3pc,BF19104 ,2900,Lawn,Beige,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19104-beige-3pc.html,unstitched
bf19104-grey-3pc,BF19104 ,2900,Lawn,Grey,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19104-grey-3pc.html,unstitched
bf19103-peach-3pc,BF19103 ,2900,Lawn,Peach,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19103-peach-3pc.html,unstitched
bf19103-green-3pc,BF19103 ,2900,Lawn,Green,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19103-green-3pc.html,unstitched
bf19102-beige-3pc,BF19102 ,2900,Lawn,Beige,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19102-beige-3pc.html,unstitched
bf19102-blue-3pc,BF19102 ,2900,Lawn,Blue,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19102-blue-3pc.html,unstitched
bf19101-beige-3pc,BF19101 ,2900,Lawn,Beige,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19101-beige-3pc.html,unstitched
bf19101-blue-3pc,BF19101 ,2900,Lawn,Blue,Front Lawn Print Embroidered 1.25mBack Lawn Printed 1.25mSleeve Lawn Printed 0.5mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/bf19101-blue-3pc.html,unstitched
ar19106-beige-3pc,AR19106 ,2500,Lawn,Beige,Front Lawn Printed 1.25mBack & Sleeve Lawn Printed 2.0mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19106-beige-3pc.html,unstitched
ar19106-blue-3pc,AR19106 ,2500,Lawn,Blue,Front Lawn Printed 1.25mBack & Sleeve Lawn Printed 2.0mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19106-blue-3pc.html,unstitched
ar19105-pink-3pc,AR19105 ,2500,Lawn,Pink,Front & Sleeve Lawn Printed 2.0mBack Lawn Printed 1.25mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19105-pink-3pc.html,unstitched
ar19104-blue-3pc,AR19104 ,2500,Lawn,Blue,Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19104-blue-3pc.html,unstitched
ar19104-green-3pc,AR19104 ,2500,Lawn,Green,Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19104-green-3pc.html,unstitched
ar19102-yellow-3pc,AR19102 ,2500,Lawn,Yellow,Front Lawn Printed 1.25mBack & Sleeve Lawn Printed 2.0mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19102-yellow-3pc.html,unstitched
lr18406-blue-2pc,LR18406 ,1190,Khaddar,Blue,Front Khaddar Printed 1.25mBack & Sleeves Khaddar Printed 2.0mPrinted Khaddar Dupatta 2.5m,Khaadi,https://www.khaadi.com/pk/lr18406-blue-2pc.html,unstitched
kt18404-blue-2pc,KT18404 ,1540,Khaddar,Blue,Digital Printed Khaddar Front 1.25mDigital Printed Khaddar Back 1.25mDigital Printed Khaddar Sleeves 0.5mEmbroidered Shalwar 2.5m,Khaadi,https://www.khaadi.com/pk/kt18404-blue-2pc.html,unstitched
kn18404-pink-2pc,KN18404 ,1750,Khaddar,Pink,Printed Khaddar Kameez 3.0mEmbroidered Shalwar 2.5mEmbroidered Kora Patti,Khaadi,https://www.khaadi.com/pk/kn18404-pink-2pc.html,unstitched
lcc18202-beige-3pc,LCC18202 ,13000,Cotton Net,Beige,Embroidered Cotton Net Shirt 4.0mDyed Inner Shirt 2.5mTissue Silk Dupatta 2.5mCotton Satin Shalwar 2.5mEmbroidered Organza,Khaadi,https://www.khaadi.com/pk/lcc18202-beige-3pc.html,unstitched
f18205-yellow-3pc,F18205 ,7500,Lawn,Yellow,Embroidered Lawn Shirt 1.25mPrinted Lawn Shirt 2.0mLawn Shalwar 2.5mEmbroidered Chiffon Dupatta 2.5m,Khaadi,https://www.khaadi.com/pk/f18205-yellow-3pc.html,unstitched
ar19104-green-3pc,AR19104 ,2500,Lawn,Green,Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19104-green-3pc.html,unstitched
ar19102-yellow-3pc,AR19102 ,2500,Lawn,Yellow,Front Lawn Printed 1.25mBack & Sleeve Lawn Printed 2.0mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19102-yellow-3pc.html,unstitched
lr18406-blue-2pc,LR18406 ,1190,Khaddar,Blue,Front Khaddar Printed 1.25mBack & Sleeves Khaddar Printed 2.0mPrinted Khaddar Dupatta 2.5m,Khaadi,https://www.khaadi.com/pk/lr18406-blue-2pc.html,unstitched
kt18404-blue-2pc,KT18404 ,1540,Khaddar,Blue,Digital Printed Khaddar Front 1.25mDigital Printed Khaddar Back 1.25mDigital Printed Khaddar Sleeves 0.5mEmbroidered Shalwar 2.5m,Khaadi,https://www.khaadi.com/pk/kt18404-blue-2pc.html,unstitched
kn18404-pink-2pc,KN18404 ,1750,Khaddar,Pink,Printed Khaddar Kameez 3.0mEmbroidered Shalwar 2.5mEmbroidered Kora Patti,Khaadi,https://www.khaadi.com/pk/kn18404-pink-2pc.html,unstitched
lcc18202-beige-3pc,LCC18202 ,13000,Cotton Net,Beige,Embroidered Cotton Net Shirt 4.0mDyed Inner Shirt 2.5mTissue Silk Dupatta 2.5mCotton Satin Shalwar 2.5mEmbroidered Organza,Khaadi,https://www.khaadi.com/pk/lcc18202-beige-3pc.html,unstitched
f18205-yellow-3pc,F18205 ,7500,Lawn,Yellow,Embroidered Lawn Shirt 1.25mPrinted Lawn Shirt 2.0mLawn Shalwar 2.5mEmbroidered Chiffon Dupatta 2.5m,Khaadi,https://www.khaadi.com/pk/f18205-yellow-3pc.html,unstitched
ar19104-green-3pc,AR19104 ,2500,Lawn,Green,Front & Back Lawn Printed 2.5mSleeve Lawn Printed 0.75mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19104-green-3pc.html,unstitched
ar19102-yellow-3pc,AR19102 ,2500,Lawn,Yellow,Front Lawn Printed 1.25mBack & Sleeve Lawn Printed 2.0mLawn Printed Dupatta 2.5mShalwar 2.5m,Khaadi,https://www.khaadi.com/pk/ar19102-yellow-3pc.html,unstitched
lr18406-blue-2pc,LR18406 ,1190,Khaddar,Blue,Front Khaddar Printed 1.25mBack & Sleeves Khaddar Printed 2.0mPrinted Khaddar Dupatta 2.5m,Khaadi,https://www.khaadi.com/pk/lr18406-blue-2pc.html,unstitched
kt18404-blue-2pc,KT18404 ,1540,Khaddar,Blue,Digital Printed Khaddar Front 1.25mDigital Printed Khaddar Back 1.25mDigital Printed Khaddar Sleeves 0.5mEmbroidered Shalwar 2.5m,Khaadi,https://www.khaadi.com/pk/kt18404-blue-2pc.html,unstitched
kn18404-pink-2pc,KN18404 ,1750,Khaddar,Pink,Printed Khaddar Kameez 3.0mEmbroidered Shalwar 2.5mEmbroidered Kora Patti,Khaadi,https://www.khaadi.com/pk/kn18404-pink-2pc.html,unstitched
lcc18202-beige-3pc,LCC18202 ,13000,Cotton Net,Beige,Embroidered Cotton Net Shirt 4.0mDyed Inner Shirt 2.5mTissue Silk Dupatta 2.5mCotton Satin Shalwar 2.5mEmbroidered Organza,Khaadi,https://www.khaadi.com/pk/lcc18202-beige-3pc.html,unstitched
